slit_pos,count_rate_10s,error_10s,count_rate_1s,error_1s,eorrror
1,220,14.83239697,22,1.483239697,4.69041576
1.05,222,14.89966443,22.2,1.489966443,4.711687596
1.1,309,17.57839583,30.9,1.757839583,5.558776844
1.15,325,18.02775638,32.5,1.802775638,5.700877125
1.2,376,19.39071943,37.6,1.939071943,6.131883887
1.25,405,20.1246118,40.5,2.01246118,6.363961031
1.3,365,19.10497317,36.5,1.910497317,6.041522987
1.35,379,19.46792233,37.9,1.946792233,6.156297589
1.4,309,17.57839583,30.9,1.757839583,5.558776844
1.45,284,16.85229955,28.4,1.685229955,5.329165038
1.5,253,15.90597372,25.3,1.590597372,5.029910536
1.55,222,14.89966443,22.2,1.489966443,4.711687596
1.6,242,15.55634919,24.2,1.555634919,4.91934955
1.65,256,16,25.6,1.6,5.059644256
1.7,294,17.1464282,29.4,1.71464282,5.422176685
1.75,420,20.49390153,42,2.049390153,6.480740698
1.8,574,23.9582971,57.4,2.39582971,7.57627877
1.85,667,25.82634314,66.7,2.582634314,8.167006796
1.9,672,25.92296279,67.2,2.592296279,8.197560613
1.95,707,26.5894716,70.7,2.65894716,8.408329204
2,685,26.17250466,68.5,2.617250466,8.276472679
2.05,613,24.75883681,61.3,2.475883681,7.829431652
2.1,472,21.72556098,47.2,2.172556098,6.870225615
2.15,382,19.54482029,38.2,1.954482029,6.180614856
2.2,260,16.1245155,26,1.61245155,5.099019514
2.25,202,14.2126704,20.2,1.42126704,4.494441011
2.3,266,16.30950643,26.6,1.630950643,5.157518783
2.35,382,19.54482029,38.2,1.954482029,6.180614856
2.4,477,21.84032967,47.7,2.184032967,6.90651866
2.45,718,26.79552201,71.8,2.679552201,8.473488066
2.5,890,29.83286778,89,2.983286778,9.433981132
2.55,1047,32.35737937,104.7,3.235737937,10.23230179
2.6,1089,33,108.9,3.3,10.43551628
2.65,1091,33.03028913,109.1,3.303028913,10.44509454
2.7,956,30.91924967,95.6,3.091924967,9.777525249
2.75,747,27.33130074,74.7,2.733130074,8.642916175
2.8,548,23.40939982,54.8,2.340939982,7.402702209
2.85,358,18.92088793,35.8,1.892088793,5.983310121
2.9,250,15.8113883,25,1.58113883,5
2.95,217,14.73091986,21.7,1.473091986,4.65832588
3,308,17.54992877,30.8,1.754992877,5.54977477
3.05,498,22.3159136,49.8,2.23159136,7.056911506
3.1,745,27.29468813,74.5,2.729468813,8.631338251
3.15,1088,32.984845,108.8,3.2984845,10.43072385
3.2,1297,36.01388621,129.7,3.601388621,11.38859078
3.25,1487,38.56163897,148.7,3.856163897,12.19426095
3.3,1477,38.4317577,147.7,3.84317577,12.15318888
3.35,1303,36.0970913,130.3,3.60970913,11.41490254
3.4,1203,34.68429039,120.3,3.468429039,10.96813567
3.45,837,28.93095228,83.7,2.893095228,9.148770409
3.5,570,23.87467277,57,2.387467277,7.549834435
3.55,353,18.78829423,35.3,1.878829423,5.941380311
3.6,227,15.06651917,22.7,1.506651917,4.7644517
3.65,232,15.23154621,23.2,1.523154621,4.816637832
3.7,316,17.77638883,31.6,1.777638883,5.621387729
3.75,726,26.94438717,72.6,2.694438717,8.520563362
3.8,1017,31.89043744,101.7,3.189043744,10.08464179
3.85,1333,36.51027253,133.3,3.651027253,11.54556192
3.9,1407,37.50999867,140.7,3.750999867,11.86170308
3.95,1605,40.06245125,160.5,4.006245125,12.66885946
4,1415,37.61648575,141.5,3.761648575,11.89537725
4.05,1304,36.11094017,130.4,3.611094017,11.41928194
4.1,1003,31.67017524,100.3,3.167017524,10.01498877
4.15,733,27.07397274,73.3,2.707397274,8.561541917
4.2,409,20.22374842,40.9,2.022374842,6.395310782
4.25,227,15.06651917,22.7,1.506651917,4.7644517
4.3,217,14.73091986,21.7,1.473091986,4.65832588
4.35,296,17.20465053,29.6,1.720465053,5.440588203
4.4,483,21.97726098,48.3,2.197726098,6.949820142
4.45,805,28.37252192,80.5,2.837252192,8.972179222
4.5,1048,32.37282811,104.8,3.237282811,10.23718711
4.55,1305,36.12478374,130.5,3.612478374,11.42365966
4.6,1421,37.69615365,142.1,3.769615365,11.92057046
4.65,1405,37.48332963,140.5,3.748332963,11.85326959
4.7,1191,34.51086785,119.1,3.451086785,10.91329464
4.75,1061,32.57299495,106.1,3.257299495,10.30048543
4.8,797,28.23118843,79.7,2.823118843,8.927485648
4.85,510,22.58317958,51,2.258317958,7.141428429
4.9,316,17.77638883,31.6,1.777638883,5.621387729
4.95,200,14.14213562,20,1.414213562,4.472135955
5,251,15.84297952,25.1,1.584297952,5.00999002
5.05,332,18.22086716,33.2,1.822086716,5.761944116
5.1,488,22.09072203,48.8,2.209072203,6.985699679
5.15,750,27.38612788,75,2.738612788,8.660254038
5.2,910,30.16620626,91,3.016620626,9.539392014
5.25,1071,32.72613634,107.1,3.272613634,10.34891299
5.3,1035,32.17141588,103.5,3.217141588,10.17349497
5.35,1052,32.43454948,105.2,3.243454948,10.25670512
5.4,856,29.25747768,85.6,2.925747768,9.252026805
5.45,765,27.65863337,76.5,2.765863337,8.746427842
5.5,495,22.24859546,49.5,2.224859546,7.03562364
5.55,368,19.18332609,36.8,1.918332609,6.066300355
5.6,226,15.03329638,22.6,1.503329638,4.75394573
5.65,211,14.52583905,21.1,1.452583905,4.593473631
5.7,234,15.29705854,23.4,1.529705854,4.837354649
5.75,311,17.63519209,31.1,1.763519209,5.576737397
5.8,457,21.37755833,45.7,2.137755833,6.760177512
5.85,505,22.47220505,50.5,2.247220505,7.106335202
5.9,614,24.77902339,61.4,2.477902339,7.83581521
5.95,719,26.81417536,71.9,2.681417536,8.47938677
6,672,25.92296279,67.2,2.592296279,8.197560613
6.05,652,25.53429067,65.2,2.553429067,8.074651695
6.1,482,21.9544984,48.2,2.19544984,6.942621983
6.15,423,20.5669638,42.3,2.05669638,6.503845017
6.2,336,18.33030278,33.6,1.833030278,5.796550698
6.25,251,15.84297952,25.1,1.584297952,5.00999002
6.3,214,14.62873884,21.4,1.462873884,4.626013402
6.35,206,14.35270009,20.6,1.435270009,4.538722287
6.4,245,15.65247584,24.5,1.565247584,4.949747468
6.45,282,16.79285562,28.2,1.679285562,5.310367219
6.5,294,17.1464282,29.4,1.71464282,5.422176685
6.55,362,19.02629759,36.2,1.902629759,6.016643583
6.6,382,19.54482029,38.2,1.954482029,6.180614856
6.65,375,19.36491673,37.5,1.936491673,6.123724357
6.7,348,18.65475811,34.8,1.865475811,5.899152482
6.75,320,17.88854382,32,1.788854382,5.656854249
6.8,293,17.11724277,29.3,1.711724277,5.412947441
6.85,266,16.30950643,26.6,1.630950643,5.157518783
6.9,191,13.82027496,19.1,1.382027496,4.370354677
6.95,215,14.6628783,21.5,1.46628783,4.636809248
7,200,14.14213562,20,1.414213562,4.472135955
