x,voltage,mv_or_no
1.9,0.054,1
1.95,0.04,1
2,0.07,1
2.05,0.144,1
2.1,0.26,0
2.15,0.424,0
2.2,0.569,0
2.25,0.7,0
2.3,0.797,0
2.35,0.832,0
2.4,0.814,0
2.45,0.746,0
2.5,0.624,0
2.55,0.466,0
2.6,0.309,0
2.65,0.157,0
2.7,0.06,1
2.75,0.031,1
2.8,0.076,1
2.85,0.184,1
2.9,0.337,0
2.95,0.535,0
3,0.741,0
3.05,0.94,0
3.1,1.077,0
3.15,1.143,0
3.2,1.111,0
3.25,0.989,0
3.3,0.817,0
3.35,0.616,0
3.4,0.415,0
3.45,0.232,0
3.5,0.0887,1
3.55,0.0256,1
3.6,0.0583,1
3.65,0.191,1
3.7,0.397,0
3.75,0.639,0
3.8,0.875,0
3.85,1.072,0
3.9,1.203,0
3.95,1.271,0
4,1.248,0
4.05,1.131,0
4.1,0.933,0
4.15,0.679,0
4.2,0.427,0
4.25,0.211,0
4.3,0.0848,1
4.35,0.0268,1
4.4,0.052,1
4.45,0.157,1
4.5,0.335,0
4.55,0.546,0
4.6,0.775,0
4.65,0.982,0
4.7,1.116,0
4.75,1.162,0
4.8,1.121,0
4.85,1.014,0
4.9,0.845,0
4.95,0.648,0
5,0.432,0
5.05,0.245,0
5.1,0.104,1
5.15,0.036,1
5.2,0.054,1
5.25,0.147,1
5.3,0.271,0
5.35,0.427,0
5.4,0.583,0
5.45,0.715,0
5.5,0.819,0
5.55,0.862,0
5.6,0.841,0
5.65,0.756,0
5.7,0.615,0
5.75,0.455,0
5.8,0.31,0
5.85,0.19,1
5.9,0.096,1
5.95,0.047,1
6,0.042,1
