x,voltage,mv_or_no
1.9,0.23,0
2,0.24,0
2.1,0.251,0
2.2,0.262,0
2.3,0.271,0
2.4,0.279,0
2.5,0.287,0
2.6,0.296,0
2.7,0.303,0
2.8,0.309,0
2.9,0.316,0
3,0.32,0
3.1,0.325,0
3.2,0.328,0
3.3,0.33,0
3.4,0.331,0
3.5,0.33,0
3.6,0.33,0
3.7,0.329,0
3.8,0.326,0
3.9,0.322,0
4,0.317,0
4.1,0.312,0
4.2,0.304,0
4.3,0.298,0
4.4,0.29,0
4.5,0.282,0
4.6,0.273,0
4.7,0.263,0
4.8,0.252,0
4.9,0.242,0
5,0.231,0
5.1,0.221,0
5.2,0.209,0
5.3,0.197,0
5.4,0.187,1
5.5,0.175,1
5.6,0.164,1
5.7,0.152,1
5.8,0.14,1
5.9,0.13,1
6,0.119,1
