x (mm),voltage,mV_or_no
1.9,0.116,1
2,0.122,1
2.1,0.133,1
2.2,0.145,1
2.3,0.157,1
2.4,0.169,1
2.5,0.181,1
2.6,0.194,1
2.7,0.207,1
2.8,0.219,0
2.9,0.23,0
3,0.241,0
3.1,0.255,0
3.2,0.267,0
3.3,0.278,0
3.4,0.288,0
3.5,0.297,0
3.6,0.307,0
3.7,0.316,0
3.8,0.323,0
3.9,0.329,0
4,0.334,0
4.1,0.339,0
4.2,0.342,0
4.3,0.344,0
4.4,0.346,0
4.5,0.346,0
4.6,0.346,0
4.7,0.344,0
4.8,0.341,0
4.9,0.337,0
5,0.333,0
5.1,0.327,0
5.2,0.319,0
5.3,0.312,0
5.4,0.304,0
5.5,0.294,0
5.6,0.284,0
5.7,0.273,0
5.8,0.261,0
5.9,0.25,0
6,0.238,0
