t,y
0.00E+00,-1.07E+00
3.52E-01,-1.04E+00
7.04E-01,-1.01E+00
1.06E+00,-9.89E-01
1.41E+00,-9.61E-01
1.76E+00,-9.21E-01
2.11E+00,-8.93E-01
2.46E+00,-8.77E-01
2.82E+00,-8.37E-01
3.17E+00,-8.21E-01
3.52E+00,-7.97E-01
3.87E+00,-7.60E-01
4.23E+00,-7.40E-01
4.58E+00,-7.08E-01
4.93E+00,-6.88E-01
5.28E+00,-6.64E-01
5.63E+00,-6.32E-01
5.99E+00,-6.12E-01
6.34E+00,-5.72E-01
6.69E+00,-5.40E-01
7.04E+00,-5.16E-01
7.39E+00,-4.92E-01
7.75E+00,-4.72E-01
8.10E+00,-4.48E-01
8.45E+00,-4.16E-01
8.80E+00,-3.88E-01
9.15E+00,-3.60E-01
9.51E+00,-3.32E-01
9.86E+00,-3.08E-01
1.02E+01,-2.84E-01
1.06E+01,-2.60E-01
1.09E+01,-2.36E-01
1.13E+01,-2.12E-01
1.16E+01,-1.96E-01
1.20E+01,-2.12E-01
1.23E+01,-2.24E-01
1.27E+01,-2.32E-01
1.30E+01,-2.36E-01
1.34E+01,-2.60E-01
1.37E+01,-2.68E-01
1.41E+01,-2.84E-01
1.44E+01,-2.92E-01
1.48E+01,-3.08E-01
1.51E+01,-3.16E-01
1.55E+01,-3.25E-01
1.58E+01,-3.33E-01
1.62E+01,-3.53E-01
1.65E+01,-3.73E-01
1.69E+01,-3.81E-01
1.73E+01,-3.93E-01
1.76E+01,-4.09E-01
1.80E+01,-4.25E-01
1.83E+01,-4.37E-01
1.87E+01,-4.49E-01
1.90E+01,-4.61E-01
1.94E+01,-4.73E-01
1.97E+01,-4.93E-01
2.01E+01,-5.09E-01
2.04E+01,-5.17E-01
2.08E+01,-5.29E-01
2.11E+01,-5.41E-01
2.15E+01,-5.57E-01
2.18E+01,-5.33E-01
2.22E+01,-5.17E-01
2.25E+01,-4.85E-01
2.29E+01,-4.44E-01
2.32E+01,-4.32E-01
2.36E+01,-4.04E-01
2.39E+01,-3.64E-01
2.43E+01,-3.40E-01
2.46E+01,-3.24E-01
2.50E+01,-2.92E-01
2.54E+01,-2.64E-01
2.57E+01,-2.40E-01
2.61E+01,-2.04E-01
2.64E+01,-1.72E-01
2.68E+01,-1.48E-01
2.71E+01,-1.24E-01
2.75E+01,-9.19E-02
2.78E+01,-5.98E-02
2.82E+01,-3.17E-02
2.85E+01,-7.70E-03
2.89E+01,2.03E-02
2.92E+01,4.44E-02
2.96E+01,6.84E-02
2.99E+01,1.01E-01
3.03E+01,1.21E-01
3.06E+01,1.57E-01
3.10E+01,1.93E-01
3.13E+01,2.21E-01
3.17E+01,2.45E-01
3.20E+01,2.81E-01
3.24E+01,3.09E-01
3.27E+01,3.26E-01
3.31E+01,3.62E-01
3.35E+01,3.94E-01
3.38E+01,4.14E-01
3.42E+01,4.49E-01
3.45E+01,4.73E-01
3.49E+01,5.02E-01
3.52E+01,5.34E-01
3.56E+01,5.50E-01
3.59E+01,5.78E-01
3.63E+01,6.10E-01
3.66E+01,6.42E-01
3.70E+01,6.58E-01
3.73E+01,6.82E-01
3.77E+01,7.06E-01
3.80E+01,7.42E-01
3.84E+01,7.70E-01
3.87E+01,7.94E-01
3.91E+01,8.26E-01
3.94E+01,8.58E-01
3.98E+01,8.82E-01
4.01E+01,8.98E-01
4.05E+01,9.34E-01
4.08E+01,9.46E-01
4.12E+01,9.26E-01
4.15E+01,9.22E-01
4.19E+01,9.02E-01
4.23E+01,8.90E-01
4.26E+01,8.74E-01
4.30E+01,8.66E-01
4.33E+01,8.50E-01
4.37E+01,8.38E-01
4.40E+01,8.26E-01
4.44E+01,8.18E-01
4.47E+01,8.02E-01
4.51E+01,7.94E-01
4.54E+01,7.78E-01
4.58E+01,7.62E-01
4.61E+01,7.46E-01
4.65E+01,7.34E-01
4.68E+01,7.18E-01
4.72E+01,7.06E-01
4.75E+01,6.90E-01
4.79E+01,6.73E-01
4.82E+01,6.65E-01
4.86E+01,6.41E-01
4.89E+01,6.42E-01
4.93E+01,6.26E-01
4.96E+01,6.17E-01
5.00E+01,5.93E-01
5.04E+01,5.93E-01
5.07E+01,5.81E-01
5.11E+01,5.65E-01
5.14E+01,5.45E-01
5.18E+01,5.37E-01
5.21E+01,5.29E-01
5.25E+01,5.21E-01
5.28E+01,5.01E-01
5.32E+01,4.89E-01
5.35E+01,4.97E-01
5.39E+01,5.09E-01
5.42E+01,5.57E-01
5.46E+01,5.69E-01
5.49E+01,5.89E-01
5.53E+01,6.17E-01
5.56E+01,6.45E-01
5.60E+01,6.69E-01
5.63E+01,6.97E-01
5.67E+01,7.29E-01
5.70E+01,7.65E-01
5.74E+01,7.85E-01
5.77E+01,8.17E-01
5.81E+01,8.41E-01
5.85E+01,8.66E-01
5.88E+01,8.90E-01
5.92E+01,9.06E-01
5.95E+01,9.42E-01
5.99E+01,9.62E-01
6.02E+01,9.98E-01
6.06E+01,1.04E+00
6.09E+01,1.06E+00
6.13E+01,1.08E+00
6.16E+01,1.11E+00
6.20E+01,1.13E+00
6.23E+01,1.15E+00
6.27E+01,1.18E+00
6.30E+01,1.21E+00
6.34E+01,1.23E+00
6.37E+01,1.27E+00
6.41E+01,1.29E+00
6.44E+01,1.32E+00
6.48E+01,1.35E+00
6.51E+01,1.38E+00
6.55E+01,1.41E+00
6.58E+01,1.44E+00
6.62E+01,1.47E+00
6.65E+01,1.48E+00
6.69E+01,1.50E+00
6.73E+01,1.54E+00
6.76E+01,1.57E+00
6.80E+01,1.59E+00
6.83E+01,1.62E+00
6.87E+01,1.65E+00
6.90E+01,1.68E+00
6.94E+01,1.69E+00
6.97E+01,1.73E+00
7.01E+01,1.75E+00
7.04E+01,1.78E+00
7.08E+01,1.79E+00
