,mass_B,
t,x,y
2.82E+00,-5.99E-01,1.38E-01
3.17E+00,-6.05E-01,7.59E-02
3.52E+00,-6.12E-01,1.38E-02
3.87E+00,-6.12E-01,-4.21E-02
4.23E+00,-6.12E-01,-1.17E-01
4.58E+00,-6.12E-01,-1.72E-01
4.93E+00,-6.05E-01,-2.41E-01
5.28E+00,-6.18E-01,-3.03E-01
5.63E+00,-6.18E-01,-3.77E-01
5.99E+00,-6.12E-01,-4.33E-01
6.34E+00,-5.99E-01,-5.14E-01
6.69E+00,-6.12E-01,-5.70E-01
7.04E+00,-6.12E-01,-6.38E-01
7.39E+00,-6.05E-01,-7.00E-01
7.75E+00,-6.05E-01,-7.62E-01
8.10E+00,-6.05E-01,-8.30E-01
8.45E+00,-6.05E-01,-8.99E-01
8.80E+00,-6.12E-01,-9.61E-01
9.15E+00,-6.05E-01,-1.01E+00
9.51E+00,-6.05E-01,-1.08E+00
9.86E+00,-5.99E-01,-1.15E+00
1.02E+01,-6.12E-01,-1.20E+00
1.06E+01,-6.05E-01,-1.13E+00
1.09E+01,-5.99E-01,-1.07E+00
1.13E+01,-6.05E-01,-9.92E-01
1.16E+01,-6.05E-01,-9.17E-01
1.20E+01,-6.12E-01,-8.49E-01
1.23E+01,-6.12E-01,-7.68E-01
1.27E+01,-6.18E-01,-7.00E-01
1.30E+01,-5.99E-01,-6.26E-01
1.34E+01,-6.05E-01,-5.51E-01
1.37E+01,-6.12E-01,-4.83E-01
1.41E+01,-6.12E-01,-3.96E-01
1.44E+01,-6.18E-01,-3.28E-01
1.48E+01,-6.12E-01,-2.53E-01
1.51E+01,-6.05E-01,-1.85E-01
1.55E+01,-6.05E-01,-1.17E-01
1.58E+01,-6.05E-01,-4.21E-02
1.62E+01,-5.99E-01,3.24E-02
1.65E+01,-5.99E-01,1.07E-01
1.69E+01,-5.93E-01,1.81E-01
1.73E+01,-5.93E-01,2.62E-01
1.76E+01,-5.99E-01,2.75E-01
1.80E+01,-5.87E-01,2.31E-01
1.83E+01,-5.93E-01,1.75E-01
1.87E+01,-5.99E-01,1.19E-01
1.90E+01,-6.05E-01,6.35E-02
1.94E+01,-5.99E-01,1.38E-03
1.97E+01,-5.99E-01,-6.69E-02
2.01E+01,-6.05E-01,-1.35E-01
2.04E+01,-6.05E-01,-1.97E-01
2.08E+01,-5.99E-01,-2.66E-01
2.11E+01,-6.05E-01,-3.34E-01
2.15E+01,-6.12E-01,-4.02E-01
2.18E+01,-5.99E-01,-4.64E-01
2.22E+01,-6.05E-01,-5.26E-01
2.25E+01,-5.93E-01,-5.95E-01
2.29E+01,-5.99E-01,-6.57E-01
2.32E+01,-6.05E-01,-7.06E-01
2.36E+01,-5.99E-01,-7.81E-01
2.39E+01,-5.99E-01,-8.49E-01
2.43E+01,-5.93E-01,-9.11E-01
2.46E+01,-5.93E-01,-9.73E-01
2.50E+01,-5.93E-01,-1.04E+00
2.54E+01,-5.93E-01,-1.10E+00
2.57E+01,-5.93E-01,-1.16E+00
2.61E+01,-5.93E-01,-1.23E+00
2.64E+01,-5.93E-01,-1.24E+00
2.68E+01,-5.99E-01,-1.15E+00
2.71E+01,-5.99E-01,-1.08E+00
2.75E+01,-5.99E-01,-1.02E+00
2.78E+01,-6.05E-01,-9.36E-01
2.82E+01,-6.05E-01,-8.62E-01
2.85E+01,-6.05E-01,-7.81E-01
2.89E+01,-6.12E-01,-7.06E-01
2.92E+01,-6.05E-01,-6.38E-01
2.96E+01,-6.05E-01,-5.70E-01
2.99E+01,-5.99E-01,-4.95E-01
3.03E+01,-5.93E-01,-4.21E-01
3.06E+01,-5.99E-01,-3.46E-01
3.10E+01,-6.05E-01,-2.72E-01
3.13E+01,-6.05E-01,-2.10E-01
3.17E+01,-6.05E-01,-1.35E-01
3.20E+01,-5.99E-01,-6.69E-02
3.24E+01,-5.99E-01,1.38E-02
3.27E+01,-5.93E-01,8.21E-02
3.31E+01,-5.99E-01,1.57E-01
3.35E+01,-5.93E-01,2.19E-01
3.38E+01,-5.87E-01,2.99E-01
3.42E+01,-5.99E-01,3.06E-01
3.45E+01,-5.93E-01,2.62E-01
3.49E+01,-6.05E-01,2.00E-01
3.52E+01,-5.93E-01,1.44E-01
3.56E+01,-5.99E-01,8.83E-02
3.59E+01,-5.87E-01,2.00E-02
3.63E+01,-5.93E-01,-2.97E-02
3.66E+01,-5.93E-01,-1.04E-01
3.70E+01,-5.99E-01,-1.72E-01
3.73E+01,-5.93E-01,-2.35E-01
3.77E+01,-5.87E-01,-2.97E-01
3.80E+01,-5.99E-01,-3.65E-01
3.84E+01,-5.93E-01,-4.27E-01
3.87E+01,-5.99E-01,-5.01E-01
3.91E+01,-6.05E-01,-5.64E-01
3.94E+01,-6.12E-01,-6.19E-01
3.98E+01,-5.93E-01,-6.69E-01
4.01E+01,-5.87E-01,-7.50E-01
4.05E+01,-5.93E-01,-8.24E-01
4.08E+01,-5.87E-01,-8.86E-01
4.12E+01,-5.93E-01,-9.48E-01
4.15E+01,-5.93E-01,-1.02E+00
4.19E+01,-5.99E-01,-1.08E+00
4.23E+01,-6.05E-01,-1.16E+00
4.26E+01,-6.05E-01,-1.23E+00
4.30E+01,-5.99E-01,-1.29E+00
4.33E+01,-5.99E-01,-1.36E+00
4.37E+01,-6.18E-01,-1.33E+00
4.40E+01,-6.12E-01,-1.26E+00
4.44E+01,-6.18E-01,-1.18E+00
4.47E+01,-6.05E-01,-1.12E+00
4.51E+01,-6.12E-01,-1.05E+00
4.54E+01,-6.12E-01,-9.73E-01
4.58E+01,-6.12E-01,-8.86E-01
4.61E+01,-6.12E-01,-8.18E-01
4.65E+01,-6.12E-01,-7.50E-01
4.68E+01,-6.05E-01,-6.75E-01
4.72E+01,-6.05E-01,-6.01E-01
4.75E+01,-6.05E-01,-5.26E-01
4.79E+01,-6.05E-01,-4.58E-01
4.82E+01,-6.12E-01,-3.84E-01
4.86E+01,-6.12E-01,-3.09E-01
4.89E+01,-6.12E-01,-2.47E-01
4.93E+01,-6.12E-01,-1.66E-01
4.96E+01,-6.18E-01,-9.79E-02
5.00E+01,-6.12E-01,-1.10E-02
5.04E+01,-6.05E-01,5.73E-02
5.07E+01,-6.12E-01,1.26E-01
5.11E+01,-6.05E-01,1.26E-01
5.14E+01,-5.99E-01,8.21E-02
5.18E+01,-5.93E-01,2.62E-02
5.21E+01,-6.05E-01,-3.59E-02
5.25E+01,-5.99E-01,-1.04E-01
5.28E+01,-6.05E-01,-1.60E-01
5.32E+01,-5.99E-01,-2.22E-01
5.35E+01,-6.05E-01,-2.84E-01
5.39E+01,-6.12E-01,-3.59E-01
5.42E+01,-6.18E-01,-4.21E-01
5.46E+01,-6.18E-01,-4.77E-01
5.49E+01,-6.12E-01,-5.45E-01
5.53E+01,-6.18E-01,-6.19E-01
5.56E+01,-6.24E-01,-6.88E-01
5.60E+01,-6.18E-01,-7.50E-01
5.63E+01,-6.18E-01,-8.12E-01
5.67E+01,-6.18E-01,-8.80E-01
5.70E+01,-6.18E-01,-9.36E-01
5.74E+01,-6.18E-01,-1.00E+00
5.77E+01,-6.18E-01,-1.07E+00
5.81E+01,-6.18E-01,-1.15E+00
5.85E+01,-6.12E-01,-1.21E+00
5.88E+01,-6.18E-01,-1.28E+00
5.92E+01,-6.18E-01,-1.34E+00
5.95E+01,-6.05E-01,-1.41E+00
5.99E+01,-6.05E-01,-1.47E+00
6.02E+01,-6.05E-01,-1.53E+00
6.06E+01,-6.05E-01,-1.61E+00
6.09E+01,-6.05E-01,-1.67E+00
6.13E+01,-6.05E-01,-1.60E+00
6.16E+01,-6.05E-01,-1.53E+00
6.20E+01,-6.05E-01,-1.46E+00
