,q,electrons,a,a_err_mean,a_err_std,VG,VE,VE_err_std,VE_err_mean,VG_err_mean,VG_err_std,Particle
0,1.098940212724098e-18,6.85980157755367,1.192190722823673e-06,9.790199885154081e-08,1.0598634257910233e-09,0.00014684190111879225,0.00012173260656062224,6.839726538425435e-07,4.276324139915221e-05,2.4117140587439913e-05,2.61086346991224e-07,t10_p1.csv
1,3.136070694718083e-19,1.9575971877141594,8.464405135931151e-07,6.638141678003098e-08,4.830039349573505e-09,7.402039641805966e-05,3.817468947369291e-05,1.2290050626231722e-06,2.091104258434904e-05,1.1609980160312348e-05,8.447644497841672e-07,t10_p2.csv
2,3.220295642458799e-19,2.0101720614599246,8.050844160673688e-07,7.778765340664121e-08,1.2373395081217284e-08,6.69639961612866e-05,5.498012857612901e-05,3.444008383574938e-07,2.392459721171898e-05,1.2940188681237451e-05,2.0583480792438602e-06,t10_p3.csv
3,3.079144339346858e-19,1.9220626337995368,8.896928592665681e-07,8.453861484066219e-08,4.369005361856251e-09,8.177842317618031e-05,2.2356589557140816e-05,2.8864407740383608e-06,2.7329695438459625e-05,1.5541171421488054e-05,8.031768842911004e-07,t10_p4.csv
4,9.272984474392312e-19,5.788379821718047,1.1758410940647523e-06,4.2487346265839154e-07,6.046405736771361e-09,0.0001428419567455411,8.72410801232904e-05,6.886051130711185e-07,1.3320135509113033e-05,0.00010322782063277015,1.4690427661993657e-06,t10_p5.csv
5,4.800202553849774e-19,2.9963811197564136,8.266411808156892e-07,5.235673213716541e-08,4.393936172360757e-09,7.059803221074872e-05,0.00010579892248198661,1.0443952107662358e-06,2.470640709223045e-05,8.942894081859884e-06,7.505148657660757e-07,t11_p1.csv
6,3.2429433646320014e-19,2.0243092163745326,8.615716440285143e-07,5.0754480406436186e-08,8.288342301706218e-09,7.669045540121235e-05,3.702784277181269e-05,9.354024280288147e-07,1.2301701561404548e-05,9.035543922549705e-06,1.475528471821307e-06,t11_p2.csv
7,1.8687233369311187e-18,11.66493968121797,1.363565933636748e-06,1.5992590904505692e-07,9.182985856531896e-10,0.00019209267648544746,0.00020242311856497083,1.6920759591695334e-06,4.50980019936343e-05,4.505920124580809e-05,2.5873106503981403e-07,\t1_p1.csv
8,5.976077317274506e-19,3.730385341619542,9.304717475704902e-07,1.277183114145121e-07,4.924440692129731e-09,8.944681984518435e-05,0.00010274199952011309,1.668178680984717e-06,2.447616208638894e-05,2.455527923734098e-05,9.467790087712549e-07,\t1_p2.csv
9,4.739353795176759e-19,2.958398124330062,8.18710401178951e-07,9.547285854754434e-08,1.825091413617157e-09,6.924989803464178e-05,0.0001068266279022599,9.904714552756211e-07,2.315132716673367e-05,1.615097526542382e-05,3.08747498785625e-07,\t1_p3.csv
10,3.1964549769042197e-19,1.995290247755443,8.493802847765362e-07,9.178135309771277e-08,7.43100819684319e-09,7.453544952158715e-05,3.937235778592046e-05,1.5927741542991804e-06,3.31493279569659e-05,1.610813091249776e-05,1.3041826994984344e-06,\t1_p4.csv
11,7.924414742231494e-19,4.9465759939023055,1.104099033175337e-06,1.4257824903875186e-07,2.6291296807831095e-09,0.00012594315880634177,8.477451518869186e-05,1.3498623907688352e-06,2.3036530140747115e-05,3.252743553152997e-05,5.998028926029319e-07,\t1_p5.csv
12,2.3159760796648476e-18,14.456779523500922,1.2593479358753705e-06,6.267982801288995e-08,7.705185247608338e-09,0.00016385133791332703,0.00036924562140170817,6.0866438140450005e-06,0.0001506006846128188,1.6310303749297804e-05,2.0050136673517334e-06,\t2_p1.csv
13,9.369077061676054e-19,5.848362710159834,9.113753922685188e-07,7.64537308478147e-08,4.631192621714686e-09,8.581300668826829e-05,0.00022258323862301292,5.280697956698008e-06,8.794512242234636e-05,1.4397414220843037e-05,8.721248495258257e-07,\t2_p2.csv
